Date,Close,High,Low,Open,Volume
2008-03-28,36.260250091552734,36.260250091552734,36.260250091552734,36.260250091552734,200
2008-03-31,35.69572448730469,36.18787987447078,35.69572448730469,36.18787987447078,400
2008-04-01,36.658329010009766,36.658329010009766,36.303686518330565,36.368824822479134,600
2008-04-02,37.063629150390625,37.201144872941875,36.94782803508853,36.99849085047592,10700
2008-04-03,37.27351760864258,43.208330673269884,36.87545146791799,43.208330673269884,29100
2008-04-04,37.251800537109375,39.7704763821077,37.251800537109375,39.7704763821077,9900
2008-04-07,37.468929290771484,38.351914399308896,37.092575027475476,38.351914399308896,11300
2008-04-08,37.70054626464844,37.70054626464844,37.15049151713287,37.15049151713287,800
2008-04-09,36.998497009277344,37.143249117729624,36.93335869851966,37.143249117729624,4300
2008-04-10,36.998497009277344,37.27352573924499,36.795845713994254,37.27352573924499,6900
2008-04-11,36.41225051879883,36.7813657273246,36.41225051879883,36.7813657273246,600
2008-04-14,36.5569953918457,37.049150783824146,36.477384374512965,37.049150783824146,3900
2008-04-15,36.658329010009766,36.658329010009766,36.484625945308075,36.622138915881024,3100
2008-04-16,37.157718658447266,37.49064652196844,37.04915390425208,37.04915390425208,2900
2008-04-17,37.657100677490234,38.28677167088585,37.382074823850886,37.40378666468671,16400
2008-04-18,38.069644927978516,38.561800268661564,37.780143572875225,38.561800268661564,9700
2008-04-21,38.243350982666016,43.75114665790361,37.97556144870653,40.71860060335787,59100
2008-04-22,37.89594650268555,38.142024184946465,37.72948259423198,37.89594650268555,3600
2008-04-23,37.99004364013672,38.2433577357866,37.76567775476356,38.06965466954342,21500
2008-04-24,38.00450897216797,38.098598229785615,37.63539382446188,37.63539382446188,7100
2008-04-25,38.15650939941406,38.27231052878292,38.0479446327297,38.27231052878292,1700
2008-04-28,38.46772766113281,38.721041783386354,38.330211913980726,38.721041783386354,16100
2008-04-29,38.02623748779297,38.36640179437835,37.8525343917934,38.36640179437835,13600
2008-04-30,38.54008865356445,38.959869348176234,38.15649804435539,38.163734404886405,9700
2008-05-01,38.424293518066406,38.49666817826502,38.04793921101775,38.105841147909686,6300
2008-05-02,38.66313552856445,38.88750141251088,38.590760861958024,38.72103747058284,15400
2008-05-05,38.771690368652344,38.771690368652344,38.64865291472041,38.72826392325033,4500
2008-05-06,39.03224182128906,39.03224182128906,38.64141211241999,38.66312395371858,2200
2008-05-07,38.380863189697266,38.98881966108959,38.359151346013405,38.98881966108959,5300
2008-05-08,38.51113510131836,39.15527882100588,38.489423260268666,38.51113510131836,189500
2008-05-09,38.344669342041016,38.344669342041016,38.105830819389325,38.105830819389325,1000
2008-05-12,38.735504150390625,38.735504150390625,38.44600002794443,38.44600002794443,2700
2008-05-13,38.7789306640625,39.15528215861079,38.52561386625523,38.67760228839003,281400
2008-05-14,38.865787506103516,39.16252804093888,38.865787506103516,39.05396328586304,19400
2008-05-15,39.278324127197266,39.278324127197266,39.07567288865524,39.07567288865524,8400
2008-05-16,39.61126708984375,39.61126708984375,39.35071382018516,39.47375409126488,4400
2008-05-19,39.59677505493164,39.98036843537592,39.51716128236932,39.51716128236932,12300
2008-05-20,39.20594787597656,39.538878470351094,39.20594787597656,39.538878470351094,296200
2008-05-21,38.93816375732422,39.45927018548006,38.9164519097899,39.408607367288965,12200
2008-05-22,38.996070861816406,39.18424667416735,38.82960689987449,39.082921024369384,11400
2008-05-23,38.38810348510742,39.01053545828951,37.707769579110206,38.99605997508573,13800
2008-05-27,38.684837341308594,39.517156775638426,38.16373107917816,39.517156775638426,4000
2008-05-28,38.677608489990234,38.68484761272839,38.43876989704224,38.525620043485475,4800
2008-05-29,38.91644287109375,39.74152601676312,38.561800465208485,38.677601560023206,246700
2008-05-30,38.873016357421875,39.336220735873184,38.86577999690927,39.336220735873184,43300
2008-06-02,38.57627868652344,38.91644563459805,38.45324122244645,38.858543702621056,45500
2008-06-03,38.48218536376953,38.916441524990915,38.12030660987627,38.5762746128382,18700
2008-06-04,38.09136199951172,38.39533885620459,38.084122877638436,38.19992397936658,2900
2008-06-05,38.909210205078125,38.909210205078125,38.25059085137617,38.25059085137617,15500
2008-06-06,37.88147735595703,38.605235041198156,37.88147735595703,38.605235041198156,9500
2008-06-09,37.64986801147461,37.99003494282771,37.63539252919193,37.87423384548222,4300
2008-06-10,37.28075408935547,37.4978835858238,37.20837943114351,37.4978835858238,7200
2008-06-11,36.83203125,37.316950375467805,36.83203125,37.316950375467805,1900
2008-06-12,36.85373306274414,37.09981073979339,36.737931965363074,36.7524074476502,13800
2008-06-13,37.107051849365234,37.121527332427874,36.853735037143274,36.853735037143274,3900
2008-06-16,37.35313034057617,37.40379315192373,37.14323997304135,37.14323997304135,3300
2008-06-17,37.34589385986328,37.47617045851879,37.27351919879527,37.27351919879527,9400
2008-06-18,37.078102111816406,37.27351699826287,37.0057274550212,37.27351699826287,9800
2008-06-19,36.5859489440918,37.00572970964499,36.5859489440918,37.00572970964499,76300
2008-06-20,36.325382232666016,37.26626904380063,36.274719436486805,36.701736404936796,35700
