Ticker,Status
MLDYX.PA,insufficient_history
MLM.MI,no_data
NCAL,good
0064.HK,good
POC.DE,good
SUDARSCHEM.NS,good
AMO.AX,good
TATASPONGE.NS,no_data
WHIRLPOOL.NS,good
VIAV,good
ISR.SG,no_data
2788.HK,no_data
BMW.BE,good
HEI.F,good
3378.HK,no_data
TMT.L,insufficient_history
MIL.AX,no_data
CEA,no_data
HL.L,good
TTA.L,no_data
KOA.OL,good
PHOR.L,insufficient_history
VRDR,insufficient_history
TKO.TO,good
FRA.BE,good
PVR.NS,no_data
ITN.BE,good
KGL.AX,good
IC.CO,no_data
OVBC,good
0465.HK,good
NGE.AX,insufficient_history
ARCW,no_data
ALMDG.PA,good
VWS.DU,no_data
HQY,insufficient_history
BEP,good
TCEC,good
FINAMEXO.MX,insufficient_history
MTX,good
NESCO.NS,good
DEE.TO,no_data
VAR,no_data
S3F.MU,no_data
SYNDIBANK.NS,no_data
ICU.AX,insufficient_history
NDLS,insufficient_history
2321.TW,good
SSI.PA,no_data
ALWEB.PA,no_data
DHIL,good
RNGC,good
EGRX,insufficient_history
RIFS.L,insufficient_history
EDG.SG,good
LOR.MU,good
4I1.BE,good
SIX3.SG,good
BRGE11.SA,good
UIL.AX,insufficient_history
MONNETISPA.NS,no_data
DAR.MU,insufficient_history
SFO.DE,good
AKS,no_data
EVS.BR,good
AVAV,good
BLBD.L,good
INFINITE.NS,insufficient_history
PYPL.MX,insufficient_history
0522.HK,good
ASC.L,good
NBY,good
4930.TW,insufficient_history
PATSPINLTD.NS,no_data
SMHN.BE,good
CFOK,no_data
GBB.PA,no_data
EIN3.BE,no_data
ORPN,no_data
MCGN.L,no_data
VALEN.MX,good
TOKYOPLAST.NS,good
0002.HK,good
MZEI,no_data
3022.TW,good
ARS.AX,no_data
GUI.PA,good
BGN.MI,good
FGFH,good
BTHR,no_data
4DS.F,good
BEE.V,no_data
0160.HK,good
CMCS34.SA,insufficient_history
AGD.AX,good
2600.HK,good
VG8.SG,good
MHH,good
0225.HK,good
6MK.MU,good
ASML.AS,good
MKT.V,insufficient_history
INQ.TO,no_data
ADX,good
INDOSOLAR.NS,insufficient_history
MU4.BE,no_data
MMYT,insufficient_history
FII.PA,good
PHM7.F,good
EBR,good
CAP.AX,no_data
LOT.V,good
0388.HK,good
HCT.AX,good
S7MB.BE,good
CEN.PA,good
WFCO34.SA,insufficient_history
AUP.TO,no_data
JYC.AX,good
MZX.MU,good
BSE.L,no_data
ANO.DU,no_data
AFX.DE,good
OBH.SG,no_data
ECK.MU,good
HURC,good
PUM.MU,good
STND,no_data
NWBO,good
ARIS,insufficient_history
ACCELSAB.MX,good
DEF.V,insufficient_history
ADB.MI,insufficient_history
JNJ.SG,good
DWNI.F,good
BACHOCOB.MX,no_data
MLZAM.PA,good
AGFB.BR,good
CBRAIN.CO,good
VVV3.BE,good
0887.HK,good
SUPREMETEX.NS,no_data
ARA.AX,good
SIEB.MU,good
MRO-TEK.NS,good
MLDUR.PA,good
WUG.DE,good
POLYMED.NS,insufficient_history
LAF.PA,no_data
ECK.SG,good
OVAS,no_data
TPH,insufficient_history
LEO.F,no_data
CFNB,good
MYT.L,insufficient_history
INCR,insufficient_history
SRK.AX,good
2317.TW,good
SRT.DU,good
AOMD.L,insufficient_history
MFRISCOA-1.MX,insufficient_history
SPM.DE,no_data
MOTILALOFS.NS,good
NFL.NS,good
REPA.F,good
DVO.L,no_data
GEI.TO,insufficient_history
TRN,good
BMY.MX,good
UBNT,no_data
2409.TW,good
3034.TW,good
GAN.BE,good
COMP.AT,no_data
9105.TW,good
EXAE.AT,good
LLY,good
BLN.V,no_data
KOD.L,insufficient_history
HZO,good
MNDL3.SA,good
DBREALTY.NS,insufficient_history
BLDP,good
PEARLPOLY.NS,good
EMU.AX,insufficient_history
PIX.PA,no_data
BOXP34.SA,insufficient_history
C1V.SG,good
CSRH,no_data
IDNG,no_data
LO3.MU,good
QRRY,no_data
O5G.F,good
BEI.SG,good
ABZA.L,insufficient_history
0768.HK,good
0297.HK,good
RPGLIFE.NS,good
XXL.OL,insufficient_history
ZFGN,no_data
ALM.MC,good
SIR,insufficient_history
ZZ-B.ST,insufficient_history
KRN.TO,insufficient_history
BGFV,good
CDZI,good
ASCMA,no_data
RLIA.MC,good
AGN.MI,no_data
VAN.V,no_data
4I1.DE,good
WTFC,good
TMG.V,good
GPX.L,good
2313.HK,good
NEOT,no_data
AW9U.SI,good
D6H.SG,good
VGREF,insufficient_history
ORANW.AS,no_data
SY.V,good
E3B.SI,good
SFNC,good
KHAITANELE.NS,no_data
E5H.SI,good
HALO,good
TTK.MU,good
SPU.OL,no_data
MT,good
2030.TW,good
CYM.V,good
SUPREMEINF.NS,good
KRITON.AT,no_data
OHB.MU,good
ALIOX.PA,no_data
TANH,insufficient_history
RWE3.HA,no_data
BILI-A.ST,good
AZK.MC,good
APT,good
PREC.PA,no_data
ALENT.PA,good
CBK,no_data
CMIG4.SA,good
KONA,no_data
QF6.SI,no_data
UCW.AX,no_data
MXC,good
ABBV,insufficient_history
SK1A.MU,no_data
OXYS,insufficient_history
WSU.MU,good
OCN.V,no_data
RAW.AX,good
ITW,good
LBRG,insufficient_history
MTOR,no_data
MLN.MX,good
ENC.MC,good
TXSO,no_data
FBNK,no_data
TIET3.SA,no_data
DTEA.MU,good
HHFA.F,good
EVERESTIND.NS,good
RDY,good
HBP.TO,good
GTHP,insufficient_history
SIOE.BR,no_data
S9B.SI,insufficient_history
BNBR3.SA,good
IB.V,good
NC5A.BE,good
2015.TW,good
ANIM.MI,insufficient_history
1383.HK,good
0900.HK,good
NNP.V,no_data
1324.TW,good
LLEN,no_data
KPN.AS,good
AGT.TO,no_data
DXCM,good
MBQ.BE,good
STB,no_data
V6C.DE,good
VALE5.SA,good
RLHA.MX,insufficient_history
HONDAPOWER.NS,good
UNFI,good
FB,no_data
NKE.MX,insufficient_history
ECYT,insufficient_history
P4O.DE,good
K22.SI,no_data
SMSPHARMA.NS,good
FICO,good
BUKS,good
0026.HK,good
LINK.OL,insufficient_history
ANY,insufficient_history
AOF.F,good
A2A.MI,good
0468.HK,insufficient_history
3559.TW,no_data
ATTB34.SA,insufficient_history
PATK,good
AKSHOPTFBR.NS,good
PUM.DE,good
SNW.F,good
CGR.AX,insufficient_history
0991.HK,good
LAT.V,no_data
3377.HK,good
WHHT,no_data
LOOM-B.ST,no_data
DANHOS13.MX,insufficient_history
AOW.AX,no_data
NBN,good
MUSS,insufficient_history
1773.TW,good
SNM.V,good
I8R.SG,good
ALGT,good
SANGAMIND.NS,good
DA.MI,good
8039.TW,good
GECP.PA,no_data
GLF.AX,no_data
3RB.BE,good
CTMA.MU,no_data
CP.TO,good
NWBN,no_data
1882.HK,good
0992.HK,good
CREAL.MX,insufficient_history
MUR.L,no_data
MLT.AX,no_data
WIG1.DE,good
BIM.MI,no_data
BLT.L,no_data
BIEI,insufficient_history
MFST,no_data
MFC.PA,no_data
ANSALAPI.NS,good
RBC,good
YUII,good
MRO,no_data
AB.PA,insufficient_history
SVJ.F,no_data
NDSN,good
PXX.TO,good
SRT3.DU,good
CPB,good
GWR.TO,no_data
PFNX,no_data
0422.HK,good
ABB,no_data
NRBBEARING.NS,good
2466.TW,good
SHSH,no_data
MCH.F,no_data
NTE.V,insufficient_history
APSI,insufficient_history
1475.TW,good
TSUN.MX,no_data
EXCC,insufficient_history
BANARBEADS.NS,insufficient_history
ESL.NS,no_data
MIC.TO,no_data
POSADASA.MX,good
2356.HK,good
TOM.DE,insufficient_history
INVE-A.ST,good
G07.SI,good
SNMX,good
KGC,good
SEK.NZ,good
ITP.TO,no_data
BNET,good
ALPA3.SA,good
AMKR,good
TPN.DU,no_data
TATB.DE,insufficient_history
AST.AX,no_data
IPF.L,good
CYDSASAA.MX,good
IMTK.L,no_data
BFC.F,no_data
MAD.NZ,no_data
NXU.BE,good
TCW.TO,good
TGI,good
PCH,good
NAKAS.AT,good
SYM.DU,good
ERCA.DE,no_data
1838.HK,no_data
0218.HK,good
MED.MU,good
BANC,good
GXS.V,no_data
WLB,no_data
FSLR,good
NTRR,insufficient_history
